pedidoNF, pedidoDestino, pedidoValor, pedidoPeso, veiculoRomaneio, veiculoTipo
773493,128,1266.27,39,6,7
773510,498,1423.24,39,6,7
773494,932,2633.29,39,6,7
773508,1304,1292.37,39,6,7
773518,7,1390.28,41,6,7
773520,507,1384.02,42,6,7
773350,1306,1760.73,42,6,7
773316,1515,2537.62,42,6,7
773403,178,1289.98,43,6,7
773421,767,1405.7,43,6,7
773419,808,1288.47,43,6,7
773507,142,1371.71,44,6,7
773495,382,1412.62,44,6,7
773505,801,1248.33,45,6,7
773416,1558,3249.69,46,6,7
773501,1152,1519.49,46,6,7
773519,1214,1266.32,47,6,7
773315,1509,1661.6,47,6,7
773317,1619,1241.8,47,6,7
773396,615,1219.63,48,6,7
773465,21,1342.84,48,6,7
773496,391,1589.22,48,6,7
773404,540,1666.33,48,6,7
773406,540,1448.6,49,6,7
773458,735,1405.43,49,6,7
773498,284,1857.25,52,6,7
773409,957,1234.66,53,6,7
773415,234,4661.94,53,6,7
773488,60,1647.09,54,6,7
773346,1306,1207.46,54,6,7
773355,1306,1983.86,54,6,7
773475,122,2372.44,55,6,7
773455,767,2311.87,55,6,7
773477,282,2098.43,56,6,7
773414,735,1830.07,56,6,7
773438,897,2298.16,56,6,7
773483,1558,1315.26,56,6,7
773410,957,1470.24,58,6,7
773491,8,1347.94,58,6,7
773380,1303,2110.65,59,6,7
773324,329,1411.71,60,6,7
773497,756,2711.46,60,6,7
773787,1305,2237.11,61,6,7
773395,676,1766.16,61,6,7
773513,393,2188.03,61,6,7
773499,710,2387.41,61,6,7
773325,329,1606.38,61,6,7
773490,66,1654.88,65,6,7
773429,21,1700.31,66,6,7
773417,172,2035.35,67,6,7
773360,1306,3115.59,67,6,7
773412,728,1697.93,68,6,7
773381,1192,2298.3,68,6,7
773492,530,1685.34,68,6,7
773545,957,1788.8,69,6,7
773432,122,1440.52,69,6,7
773422,1229,2744.24,69,6,7
773436,1229,2012.56,70,6,7
773516,1479,2107.66,70,6,7
773368,1524,1887.27,70,6,7
773489,51,2116.49,72,6,7
773512,514,2838.59,72,6,7
773515,1274,2763.46,72,6,7
773312,1515,2176.22,72,6,7
773547,329,2254.16,73,6,7
773500,653,1290.58,73,6,7
773405,957,1821.0,75,6,7
773407,615,1716.48,77,6,7
773435,684,1697.91,77,6,7
773418,179,5268.44,80,6,7
773383,1303,2371.55,80,6,7
773314,1513,1498.37,82,6,7
773370,337,2525.2,83,6,7
773543,615,1608.67,86,6,7
773452,729,1472.22,88,6,7
773531,1628,1579.45,89,6,7
773366,337,1788.09,89,6,7
773472,529,2070.14,89,6,7
773476,1354,1416.7,89,6,7
773382,1524,2321.3,90,6,7
773384,1192,3499.78,96,6,7
773413,199,2519.51,101,6,7
773456,282,2540.34,102,6,7
773371,285,2827.15,103,6,7
773448,728,2417.2,104,6,7
773313,1515,3386.6,105,6,7
773367,676,2802.91,106,6,7
773485,744,1827.07,109,6,7
773451,481,3789.02,110,6,7
773590,1287,1339.47,110,6,7
773342,1306,2988.34,113,6,7
773344,1306,5054.4,116,6,7
773457,468,3490.99,117,6,7
773427,276,3399.6,120,6,7
773363,1192,2268.95,120,6,7
773357,1306,4365.88,120,6,7
773460,191,2062.17,122,6,7
773444,1262,2832.0,122,6,7
773349,1306,5483.09,122,6,7
773480,1380,3697.61,130,6,7
773376,337,3516.08,130,6,7
773398,178,3776.88,135,6,7
773449,1187,4189.39,135,6,7
773431,729,2198.18,141,6,7
773591,1287,1969.74,146,6,7
773486,139,3231.87,148,6,7
773347,1306,4383.24,153,6,7
773468,1563,6220.79,158,6,7
773450,183,2925.06,159,6,7
773454,37,3872.45,162,6,7
773348,1306,5643.86,164,6,7
773466,520,2581.82,165,6,7
773390,1192,4551.05,169,6,7
773352,1306,2655.3,175,6,7
773437,234,3125.39,177,6,7
773402,957,4736.73,177,6,7
773453,416,5557.11,190,6,7
773399,615,4999.55,194,6,7
773461,678,3945.71,200,6,7
773482,21,3378.25,201,6,7
773411,1202,3093.48,204,6,7
773473,1112,3529.86,204,6,7
773364,40,4432.97,213,6,7
773446,172,2860.34,224,6,7
773542,1639,4474.56,225,6,7
773544,615,5207.89,261,6,7
773443,139,5080.6,296,6,7
773548,329,6065.45,329,6,7
773846,40,6321.46,367,7,6
773462,1547,8350.83,381,7,6
773392,40,7055.45,382,7,6
773474,565,5596.73,385,7,6
773834,710,5693.49,397,7,6
773391,337,8213.06,400,7,6
773389,110,6904.02,403,7,6
773445,974,5416.91,404,7,6
773471,1369,9614.72,409,7,6
773434,1271,9725.64,411,7,6
773783,238,10319.34,447,7,6
773479,124,12396.08,450,7,6
773788,729,11491.92,469,7,6
773439,168,9954.35,511,7,6
773394,285,9215.68,539,7,6
773467,214,10200.72,571,7,6
773385,1524,16040.58,665,7,6
773388,838,15850.47,754,7,6
773375,1381,14667.0,821,7,6
773589,1287,12013.31,828,7,6
773343,1306,20798.56,862,7,6
773378,467,14948.63,973,7,6
773377,676,13883.86,993,7,6
773785,238,27184.37,1246,7,6
773782,238,20150.67,1271,7,6
773365,581,31619.01,1343,7,6
773803,1385,27731.47,1582,7,6
773865,897,30001.5,1653,7,6
773880,1464,21884.96,1734,7,6
773800,579,27636.44,1880,8,2
