NotaFiscal	DataEmissao	Peso	ValorNFs	TranspRedespacho
776558	20/09/2017	181	2739.96	329
776561	20/09/2017	290	4107.69	329
776556	20/09/2017	451	5690.29	492
776553	20/09/2017	174	2563.09	615
776495	20/09/2017	75	2220.14	615
776555	20/09/2017	794	13420.89	615
776557	20/09/2017	46	1926.8	615
776559	20/09/2017	567	10824.98	833
776560	20/09/2017	1691	23826.14	833
776554	20/09/2017	3529	65891.89	833
776273	20/09/2017	288	6831.42	932
775518	16/09/2017	782	16490.68	1287
776518	20/09/2017	52	1827.92	82
776188	20/09/2017	90	8719.78	89
776230	20/09/2017	455	7643.02	129
776472	20/09/2017	938	10490.31	312
776197	20/09/2017	126	2674.56	496
776189	20/09/2017	619	10817.57	523
776231	20/09/2017	243	3028.22	609
776206	20/09/2017	87	1337.3	615
776146	20/09/2017	515	9762.62	735
776223	20/09/2017	435	8738.43	743
776811	20/09/2017	2239	30162.62	808
776218	20/09/2017	357	6172.44	1152
775585	20/09/2017	914	13740.75	1170
776194	20/09/2017	82	1791.12	1218
776203	20/09/2017	327	4941.08	1305
776150	20/09/2017	1532	30067.87	1385
776481	20/09/2017	1307	9113.72	1612
776755	20/09/2017	423	3221.52	8
776736	20/09/2017	1372	16132.41	285
776483	20/09/2017	530	10150.66	416
776485	20/09/2017	785	8582.73	416
776735	20/09/2017	1157	10263.76	419
776478	20/09/2017	1080	20118.47	487
776473	20/09/2017	794	12382.88	496
776482	20/09/2017	1809	27767.67	498
776519	20/09/2017	72	2975.9	793
776529	20/09/2017	52	1346.42	814
776491	20/09/2017	56	1199.22	1192
776493	20/09/2017	181	2509.1	1192
776525	20/09/2017	179	3834.9	1229
776534	20/09/2017	139	2422.82	1287
776527	20/09/2017	111	5078.08	1305
776486	20/09/2017	891	16297.97	1306
776475	20/09/2017	45	1673.89	1306
776538	20/09/2017	1403	24838.12	1510
776784	21/09/2017	239	3102.62	966
776470	21/09/2017	130	2063.55	8
776505	21/09/2017	96	1366.39	89
776506	21/09/2017	52	1458.03	89
776517	21/09/2017	586	6391.88	129
776504	21/09/2017	282	3616.42	195
776757	21/09/2017	123	1609.56	234
776507	21/09/2017	47	2990.14	305
776508	21/09/2017	188	3589.05	325
776524	21/09/2017	118	3108.53	345
776526	21/09/2017	736	7678.79	356
776515	21/09/2017	105	3429.04	432
776502	21/09/2017	614	10350.61	432
776512	21/09/2017	155	2794.11	435
776765	21/09/2017	366	7630.07	529
776513	21/09/2017	113	1503.95	579
776514	21/09/2017	79	2466.58	579
776509	21/09/2017	46	1318.23	653
776521	21/09/2017	432	4632.34	679
776766	21/09/2017	165	2190.16	689
776487	21/09/2017	969	16025.57	710
776547	21/09/2017	102	2681.91	729
776501	21/09/2017	49	1513.35	738
776523	21/09/2017	329	10052.35	808
776748	21/09/2017	834	11043.1	851
776520	21/09/2017	784	14509.95	851
776787	21/09/2017	349	4311.96	896
776476	21/09/2017	861	19923.6	906
776488	21/09/2017	198	4067.54	1192
776528	21/09/2017	46	1382	1210
776510	21/09/2017	62	1742.4	1229
776763	21/09/2017	63	2362.1	1306
776511	21/09/2017	158	1755.53	1328
776516	21/09/2017	127	2077.07	1328
776453	21/09/2017	623	10551.12	1515
776503	21/09/2017	265	3860.27	1524
776522	21/09/2017	214	3142.32	1588
775814	20/09/2017	146	4476.3	24
776154	20/09/2017	1309	18058.22	24
776235	20/09/2017	111	1890.62	98
775858	19/09/2017	2729	42375.28	98
776266	20/09/2017	134	4015.07	98
776268	20/09/2017	1451	28404.54	98
775813	20/09/2017	47	2604.56	356
775865	20/09/2017	349	7620.54	584
775860	20/09/2017	92	1776.86	617
774181	21/09/2017	124	2548.3	845
775861	20/09/2017	99	4650.69	1007
775862	20/09/2017	197	2517.61	1007
776253	20/09/2017	43	1783.39	1287
776254	21/09/2017	40	1268.82	1287
776725	21/09/2017	81	1215.42	379
776726	21/09/2017	136	3324.56	379
776104	21/09/2017	217	3819.13	379
776746	21/09/2017	1504	26347.84	329
776780	21/09/2017	35	1398.65	397
