NotaFiscal	DataEmissao	Peso	ValorNFs	TranspRedespacho
795118	21/11/2017	177	3397.45	130
795090	21/11/2017	304	5840.54	175
795132	21/11/2017	71	1389.07	183
795133	21/11/2017	83	1811.93	183
795113	21/11/2017	139	2431.33	183
795076	21/11/2017	79	1624	183
795109	21/11/2017	395	6583.23	189
795093	21/11/2017	289	3341.68	305
795080	21/11/2017	152	2040.63	312
795075	21/11/2017	135	2593.3	312
795081	21/11/2017	364	4508.8	328
795098	21/11/2017	36	1553.63	328
795120	21/11/2017	93	1846.87	397
795086	21/11/2017	73	1775.2	397
795088	21/11/2017	129	2664.65	397
795102	21/11/2017	88	1544.47	397
795130	21/11/2017	70	1332.53	432
795096	21/11/2017	92	2036.86	432
795087	21/11/2017	64	1510.88	432
795103	21/11/2017	47	1507.1	432
795115	21/11/2017	52	1233.55	432
795116	21/11/2017	42	1255.9	432
795125	21/11/2017	148	2478.83	514
795134	21/11/2017	128	1262.18	514
795108	21/11/2017	96	1931.3	514
795112	21/11/2017	60	1456.31	514
795064	21/11/2017	1067	16177.76	520
794967	21/11/2017	66	1307.63	593
795111	21/11/2017	177	2128.66	612
795082	21/11/2017	209	4123.01	684
795083	21/11/2017	137	2836.65	684
795097	21/11/2017	46	1351.47	684
795085	21/11/2017	238	2991.29	756
795078	21/11/2017	60	1328.32	756
795206	21/11/2017	60	2487.82	825
795207	21/11/2017	470	7536.1	825
793811	21/11/2017	620	8706.71	957
795121	21/11/2017	599	8496.75	1170
795079	21/11/2017	674	11531.35	1201
795095	21/11/2017	253	5076.1	1216
795107	21/11/2017	68	1389.76	1216
795077	21/11/2017	60	1299.79	1216
795092	21/11/2017	214	4304.07	1325
795106	21/11/2017	327	6472.05	1325
795089	21/11/2017	71	1267.56	1369
795100	21/11/2017	60	1197.48	1369
795104	21/11/2017	63	1547.08	1369
795208	21/11/2017	176	3477.6	1510
795209	21/11/2017	362	6492	1510
795175	21/11/2017	160	1338.8	1674
794990	21/11/2017	1277	28931.32	60
792721	20/11/2017	236	3111.33	24
792716	20/11/2017	216	3794.18	356
792724	20/11/2017	219	3426.96	427
792726	20/11/2017	235	3554.05	427
792717	17/11/2017	150	2202.73	427
792722	20/11/2017	750	11542.23	427
792288	17/11/2017	1004	10092.35	566
793174	20/11/2017	361	6103.6	622
792720	20/11/2017	549	14007.93	642
793169	20/11/2017	117	2591	642
792723	20/11/2017	231	2029.16	642
791992	18/11/2017	287	4735.66	662
791993	17/11/2017	100	2072.97	662
789214	09/11/2017	205	4581.51	662
792287	17/11/2017	235	3887.46	662
789207	13/11/2017	1022	13423.31	662
791995	18/11/2017	390	3613.86	845
791996	18/11/2017	518	5310.46	845
791798	17/11/2017	184	3865.54	890
792725	20/11/2017	616	7697.73	1234
792718	20/11/2017	271	2969.61	1234
791990	17/11/2017	1673	26592.5	1564
795061	21/11/2017	733	12893.94	30
795034	21/11/2017	813	11544.91	371
795054	21/11/2017	1161	35615.42	754
795060	21/11/2017	623	12309.23	1296
794923	21/11/2017	3179	64985.83	492
795298	21/11/2017	2293	25288.85	1162
794925	21/11/2017	2636	41598.39	137
794927	21/11/2017	3073	66855.57	246
794926	21/11/2017	1746	29032.31	710
794928	21/11/2017	407	8641.68	710
794924	21/11/2017	2420	22360.04	904
794975	21/11/2017	189	2186.71	1237
794962	21/11/2017	1620	10560	1237
794916	21/11/2017	682	13589.87	8
794917	21/11/2017	21	1122.51	8
794920	21/11/2017	521	10617.88	8
794921	21/11/2017	96	2279.91	8
794907	21/11/2017	23	1331.66	8
794908	21/11/2017	92	1993.69	8
794910	21/11/2017	107	2793.97	8
794911	21/11/2017	84	1639.73	8
794912	21/11/2017	78	1644.97	8
794913	21/11/2017	503	10214.67	8
794915	21/11/2017	94	2337.43	8
794898	21/11/2017	579	11208.89	8
794899	21/11/2017	330	5998.64	8
794900	21/11/2017	852	17136.83	8
794901	21/11/2017	66	1955.77	8
794919	21/11/2017	3337	50274.89	267
794934	21/11/2017	1530	28697.35	601
794904	21/11/2017	85	1642.21	1112
794905	21/11/2017	154	3484.6	1112
794918	21/11/2017	363	7274.45	1112
794902	21/11/2017	43	1265.71	1112
794906	21/11/2017	2597	43170.18	1112
794909	21/11/2017	119	1545.02	1112
794903	21/11/2017	36	1255.99	1112
794914	21/11/2017	69	1629.83	1112
795051	21/11/2017	114	2131.39	40
795016	21/11/2017	104	1538.92	59
795020	21/11/2017	82	1653.92	59
794992	21/11/2017	212	3021.62	59
794995	21/11/2017	167	3128.21	59
794996	21/11/2017	40	1208.49	59
795124	21/11/2017	116	2455.19	122
795009	21/11/2017	205	4381.81	213
795019	21/11/2017	275	5263.19	213
795002	21/11/2017	36	1212.12	213
795003	21/11/2017	75	1534.78	213
795004	21/11/2017	368	7149.83	213
794984	21/11/2017	122	4960.04	227
795012	21/11/2017	64	1349.28	227
795017	21/11/2017	89	1534.37	227
795018	21/11/2017	116	2076.51	227
794997	21/11/2017	101	2087.46	227
794999	21/11/2017	103	2085.7	227
796039	21/11/2017	341	4353.18	293
795126	21/11/2017	121	2263.49	312
795021	21/11/2017	1019	22824.24	419
794993	21/11/2017	62	1387.52	453
795000	21/11/2017	46	1189.51	453
796129	21/11/2017	328	6196.1	470
795066	21/11/2017	649	7855.29	498
795091	21/11/2017	141	2080.8	514
795035	21/11/2017	121	2105.45	556
795052	21/11/2017	150	2561.73	579
794946	21/11/2017	113	2550.72	593
794938	21/11/2017	89	1746.9	593
794961	21/11/2017	64	1261.37	593
794931	21/11/2017	177	1995.02	593
794610	21/11/2017	237	3646.31	617
794944	21/11/2017	217	4867.91	679
794963	21/11/2017	169	3096.12	679
795007	21/11/2017	79	1577.42	738
795014	21/11/2017	247	3969.98	738
795001	21/11/2017	93	1854.56	738
794959	21/11/2017	510	8611.95	851
794966	21/11/2017	147	2375.24	851
794987	21/11/2017	1300	21302.75	1186
796033	21/11/2017	128	2487.18	1201
795119	21/11/2017	192	3108.12	1216
795036	21/11/2017	61	1238.78	1262
795024	21/11/2017	101	2023.09	1262
796107	21/11/2017	207	2264	1294
796106	21/11/2017	214	3438.5	1328
794947	21/11/2017	560	9118.22	1385
794972	21/11/2017	279	4104.47	1479
794986	21/11/2017	136	2822.34	59
795011	21/11/2017	276	2713.19	59
794989	21/11/2017	101	1531.56	59
795006	21/11/2017	154	1934.23	59
795015	21/11/2017	320	3647.57	213
794988	21/11/2017	88	1754.45	213
794983	21/11/2017	397	7163.91	227
795013	21/11/2017	77	1693.74	227
795010	21/11/2017	180	1741.32	227
795114	21/11/2017	574	11601.72	290
795008	21/11/2017	1178	28731.04	416
794991	21/11/2017	1017	18669.55	453
794985	21/11/2017	85	1322.13	453
794958	21/11/2017	301	5181.68	478
794935	21/11/2017	193	2835.4	593
794949	21/11/2017	121	1632.37	593
794953	21/11/2017	80	1575.4	593
794980	21/11/2017	95	1752.72	679
794942	21/11/2017	921	17799.35	679
794970	21/11/2017	149	1992.11	679
794994	21/11/2017	89	1946.04	738
794981	21/11/2017	231	2958.45	738
794982	21/11/2017	91	2167.55	738
794976	21/11/2017	208	2372.16	851
794978	21/11/2017	105	1750.92	851
794979	21/11/2017	81	1614.08	851
794941	21/11/2017	198	2779.29	851
794952	21/11/2017	127	2299.62	851
794957	21/11/2017	125	1835.36	851
794964	21/11/2017	70	1483.33	851
794968	21/11/2017	75	1532.19	851
795101	21/11/2017	576	18523.74	903
795030	21/11/2017	196	4132.64	1210
794965	21/11/2017	179	3436.95	1385
794977	21/11/2017	78	1346.85	1479
794933	21/11/2017	320	7079.75	1479
794969	21/11/2017	178	2090.94	1479
794998	21/11/2017	1195	27899.59	1639
795074	21/11/2017	61	1334.08	40
795062	21/11/2017	178	3356.29	40
795038	21/11/2017	91	1932.24	40
795047	21/11/2017	100	1831.39	40
795039	21/11/2017	126	2530.93	129
795045	21/11/2017	156	2281	129
795056	21/11/2017	228	3936.62	129
795057	21/11/2017	142	2004.75	129
795005	21/11/2017	179	2528.76	419
795117	21/11/2017	152	2542.92	432
794973	21/11/2017	100	1809.06	478
794945	21/11/2017	96	1756.52	478
794954	21/11/2017	63	1272.02	478
794971	21/11/2017	91	1484.38	478
795065	21/11/2017	207	2482.73	498
795131	21/11/2017	112	2335.12	514
795105	21/11/2017	677	12153.75	541
795040	21/11/2017	136	3675.56	556
795023	21/11/2017	120	1626.24	556
795063	21/11/2017	97	1532.93	556
795067	21/11/2017	230	3920.36	556
795032	21/11/2017	118	1928.18	556
795031	21/11/2017	229	4711.25	579
795068	21/11/2017	90	1356.95	579
795046	21/11/2017	82	1611.55	579
795048	21/11/2017	63	1322.08	579
795053	21/11/2017	159	2406.47	579
795055	21/11/2017	199	4115.93	579
795059	21/11/2017	71	1504.41	579
794937	21/11/2017	158	2967.95	593
794940	21/11/2017	132	1675.82	593
794950	21/11/2017	83	1741.36	593
794956	21/11/2017	100	1227.23	593
794939	21/11/2017	76	1598.22	593
794943	21/11/2017	196	2127.61	593
794929	21/11/2017	70	1506.11	679
795094	21/11/2017	209	4463.32	684
795033	21/11/2017	87	1457.29	729
795070	21/11/2017	58	1237.47	729
795072	21/11/2017	125	2520.49	729
795073	21/11/2017	126	1220.39	729
795205	21/11/2017	258	4847.66	729
795029	21/11/2017	125	1971.67	729
794951	21/11/2017	109	2135.55	851
794932	21/11/2017	107	1999.82	851
795026	21/11/2017	191	4078.36	1210
795037	21/11/2017	220	3231.76	1210
795041	21/11/2017	101	1748.44	1210
795043	21/11/2017	147	2219.12	1210
795028	21/11/2017	120	1332.87	1210
795127	21/11/2017	565	6908.88	1247
795044	21/11/2017	91	1763.39	1262
795050	21/11/2017	108	1788.22	1262
795058	21/11/2017	236	2963.57	1262
795025	21/11/2017	200	4196.9	1262
795071	21/11/2017	129	2053.45	1296
795042	21/11/2017	608	11892.81	1306
795122	21/11/2017	219	4014.13	1369
795110	21/11/2017	99	1814.11	1369
794955	21/11/2017	692	10369.83	1385
794948	21/11/2017	217	3229.22	1479
794930	21/11/2017	65	1694.29	1479
794936	21/11/2017	126	1650.51	1479
794974	22/11/2017	143	1950.24	1479
832235	22/11/2017	816	13045.85	238
832236	22/11/2017	0	35.5	238
796115	22/11/2017	285	5670.28	148
796112	22/11/2017	84	1612.35	148
795947	22/11/2017	276	5166.3	148
796117	22/11/2017	206	5371.91	178
796113	22/11/2017	170	1718.48	178
795948	22/11/2017	602	12345.91	329
795956	22/11/2017	1646	26517.28	419
796114	22/11/2017	349	6533.98	615
796116	22/11/2017	5388	63164.45	615
796119	22/11/2017	367	7307.3	615
795950	22/11/2017	101	1298.49	932
795955	22/11/2017	318	6216.03	1340
796096	22/11/2017	58	1192.68	1354
796122	22/11/2017	391	7271.13	1354
795849	22/11/2017	200	3579.78	615
795850	22/11/2017	456	8328.28	615
795853	22/11/2017	2619	19834.54	813
796001	22/11/2017	52	1206.71	8
795996	22/11/2017	63	1355.57	8
796021	22/11/2017	130	2514.15	8
796071	22/11/2017	95	2081.85	124
796104	22/11/2017	437	6898.74	240
795999	22/11/2017	277	5531.83	307
795995	22/11/2017	258	5458.62	432
796026	22/11/2017	256	7279.38	530
796008	22/11/2017	74	1704.52	530
796012	22/11/2017	134	1695.26	530
796020	22/11/2017	559	6983.96	870
796019	22/11/2017	509	4605.62	1214
796006	22/11/2017	39	1310.03	1385
796002	22/11/2017	784	16924.89	1485
795841	22/11/2017	115	1908.47	1513
795842	22/11/2017	72	1947.6	1615
795838	22/11/2017	134	2744.83	1617
795840	22/11/2017	266	3698.56	1618
796016	22/11/2017	611	10687.08	1637
795839	22/11/2017	74	1222.68	1654
795169	22/11/2017	80	1279.92	4
796017	22/11/2017	122	2312.19	8
795167	22/11/2017	212	3424.89	19
795171	22/11/2017	34	1487.69	36
795151	22/11/2017	87	1681.37	51
795994	22/11/2017	95	2134.2	66
795161	22/11/2017	83	1828.99	66
795159	22/11/2017	61	1328.34	102
795157	22/11/2017	70	1313.96	142
795170	22/11/2017	264	4368.58	164
795144	22/11/2017	112	1558.48	165
796005	22/11/2017	206	3553.42	172
795164	22/11/2017	80	1876.14	185
795136	22/11/2017	63	1464.58	199
795139	22/11/2017	221	3807.92	206
795179	22/11/2017	87	1588.13	238
796105	22/11/2017	433	7485.9	240
